,Gene_symbol,Log_FoldChange,PValue
4386,CCL3L1,-1.01,0.037163144693517995
4502,BCL6B,-1.139,0.017848562570836002
4914,GIPC2,-1.4609999999999999,0.0374476712778438
0,EIF3CL,-9.035,1.7036969831112099e-12
1,CRYM,-1.886,5.80740938553041e-11
2,NEUROD6,-1.4569999999999999,1.02961203794626e-08
3,PPEF1,-2.037,1.86211033993474e-08
4,NELL2,-1.864,3.17859505361476e-08
5,ENC1,-1.725,3.14965944441971e-08
6,THY1,-1.8619999999999999,7.194317834629331e-08
10,PTPRO,-1.495,3.5477604550911297e-07
11,SV2B,-1.607,3.64946418167236e-07
12,CHGB,-1.601,4.7189489521718e-07
14,SLC6A7,-1.5030000000000001,5.6719809207472e-07
15,EGR1,-1.7590000000000001,6.648630596156139e-07
16,C11orf87,-1.722,6.7235486015876e-07
18,DHCR24,-1.6440000000000001,7.60827554615608e-07
19,RTN1,-1.4140000000000001,1.14314188936794e-06
20,LRTM2,-1.4609999999999999,1.2114352091499599e-06
23,SYT4,-1.5659999999999998,1.38501578243475e-06
25,SATB2-AS1,-2.123,1.70980689672467e-06
26,AMIGO2,-2.0269999999999997,1.66125566843808e-06
27,ARL4D,-1.669,1.78613508618762e-06
30,MYADM,-1.3230000000000002,2.05574647097542e-06
31,GOT1,-1.5430000000000001,2.06746653876012e-06
32,SLC30A3,-1.5730000000000002,2.1731231287946097e-06
33,ITFG1,-1.318,2.23960844313559e-06
34,NWD2,-1.767,2.90220114938113e-06
35,ATL1,-1.135,2.74113738268433e-06
36,NR4A1,-2.7539999999999996,2.59480991734186e-06
37,FAM131A,-1.186,2.57887055089422e-06
38,MAP2K4,-1.19,2.8602388435781e-06
39,GDA,-1.264,2.86066046518095e-06
40,SLC8A2,-1.11,2.69032165135965e-06
42,SEMA4F,-1.444,3.5329828319691297e-06
43,NOV,-1.472,3.3272150789811296e-06
44,FRMPD2,-1.463,3.53773914821864e-06
46,ACOT7,-1.3659999999999999,3.39796647968171e-06
47,CLSTN3,-1.4369999999999998,3.1692892255214403e-06
48,DUSP6,-1.307,3.62980616912902e-06
50,PRKCG,-1.335,3.891412033831201e-06
51,C3orf80,-1.8090000000000002,4.045798546324569e-06
52,PRMT8,-1.4140000000000001,4.15328507075454e-06
53,RAG1,-4.974,4.44965263592221e-06
56,SYP,-1.2930000000000001,5.29208700641045e-06
57,ATP1A1,-1.315,5.49984377048407e-06
58,PCDH8,-1.32,5.671068540041901e-06
59,PDP1,-1.474,5.86965280798527e-06
62,UCHL1,-1.347,6.4033548107098e-06
63,OLFM3,-1.505,6.883582912930459e-06
64,NPTN,-1.3330000000000002,6.82056210253901e-06
65,TMEM200A,-2.535,7.04325728117361e-06
68,EGR4,-1.7269999999999999,7.78670038665143e-06
71,MCHR1,-1.5290000000000001,8.46571608825497e-06
72,ATP6V1E1,-1.1420000000000001,8.76500830212132e-06
73,SCN3B,-1.087,8.6684080426761e-06
74,SVOP,-1.334,8.97462386995773e-06
75,SLC1A1,-1.067,9.194194178590801e-06
76,CX3CL1,-1.217,9.27018508050936e-06
77,TMEM59L,-1.24,9.38465925610202e-06
79,RTN4RL1,-1.325,9.71870043793046e-06
82,CA10,-1.087,1.06842235251509e-05
84,CIDEA,-2.351,1.1090449180699699e-05
85,NCALD,-1.359,1.0984405157807301e-05
86,NPTX1,-1.3019999999999998,1.2394917686467402e-05
87,TMEM246,-1.229,1.2838333339601401e-05
88,PAK1,-1.56,1.33030759590116e-05
89,SLC6A15,-1.426,1.3747237329974e-05
91,LDB2,-1.189,1.46390561001996e-05
92,SYNPO2,-1.435,1.49269869412297e-05
93,SLC7A4,-1.956,1.5753434140077403e-05
94,CREG2,-1.11,1.5707491639140698e-05
95,DYNC1I1,-1.111,1.6119794908369698e-05
98,EPHA4,-1.17,1.9012380604243102e-05
100,LINGO1,-1.171,1.8580658233886e-05
101,PI4KA,-1.033,1.87115599555707e-05
102,SH3GL2,-1.474,1.9489793139472603e-05
105,C1orf216,-1.161,2.20260165985497e-05
106,NUAK1,-1.218,2.19829711240392e-05
110,CDH8,-1.139,2.35010535975055e-05
112,MAP2K1,-1.42,2.3270951656824103e-05
113,RAB3A,-1.227,2.4022402018509602e-05
114,MRAP2,-1.587,2.43843762827826e-05
115,VGF,-1.557,2.49827150573169e-05
116,STXBP1,-1.173,2.48753376394251e-05
118,APBA2,-2.213,2.9633109515746002e-05
119,BTBD10,-1.232,2.9269420759472698e-05
121,ATP6V1B2,-1.14,2.9005880819663695e-05
123,SLC27A4,-1.1320000000000001,3.03496928480981e-05
124,EFNB3,-1.2770000000000001,3.1559762711678104e-05
126,HMP19,-1.129,3.22888940598324e-05
127,KCNJ3,-1.25,3.3161594578964897e-05
128,ANXA6,-1.092,3.30084720190218e-05
129,MAL2,-1.368,3.44044822637576e-05
130,NIT2,-1.145,3.5641082239265006e-05
131,RTN4RL2,-1.1640000000000001,3.5990944152425397e-05
133,LINC01007,-1.413,3.70117213390882e-05
134,YWHAH,-1.268,3.7347779450815706e-05
135,PCSK2,-1.196,3.9594292105261895e-05
136,DCLK1,-1.2930000000000001,3.9683138324813e-05
137,SLIT1,-1.193,3.9981792642737296e-05
138,RETREG2,-1.055,4.1584566651644105e-05
139,PTPRR,-1.4869999999999999,4.41711996644002e-05
140,ELMOD1,-1.272,4.37475794798219e-05
141,RTN3,-1.069,4.4237322473212396e-05
142,PTER,-1.079,4.49251898204514e-05
145,CMAS,-1.081,4.63668265925977e-05
146,PCMT1,-1.155,4.6857032688715506e-05
148,CDK5R2,-1.16,4.96288145692775e-05
149,GABRG2,-1.327,4.9274062060453005e-05
150,ATP6V0C,-1.065,4.90463476249416e-05
151,YWHAZ,-1.051,4.8794271733074295e-05
152,HPRT1,-1.1640000000000001,5.01364674341846e-05
156,DUSP4,-1.547,5.25854790045122e-05
157,TIMM17A,-1.061,5.38320901620976e-05
158,MDH1,-1.22,5.48770718290466e-05
159,KCNV1,-1.276,5.65156474869903e-05
160,PART1,-1.126,5.63918553714818e-05
161,RYR2,-1.2409999999999999,5.688270246782521e-05
163,MOAP1,-1.368,5.728711598656949e-05
164,ATF3,-2.202,5.802182076990451e-05
166,CCK,-1.038,5.8907055375706994e-05
168,GNG3,-1.14,6.06880727226374e-05
175,CCDC184,-1.199,6.58651736211176e-05
