,Gene_symbol,Log_FoldChange,PValue
217,VSTM4,2.182,4.0440599355776095e-05
219,ADAMTS2,2.5669999999999997,4.4720451637727e-05
220,NPR1,3.4139999999999997,4.49921293045563e-05
222,MCAM,1.207,4.64930080086935e-05
223,ST8SIA5,3.236,4.73477148071079e-05
227,RASA4B,1.409,4.919174489582129e-05
228,GRIK3,3.553,5.04630894674526e-05
230,CCND2,1.801,5.1761445062928793e-05
232,PACRG,1.4069999999999998,5.41972783294558e-05
234,VPS52,3.303,5.7782345910944104e-05
236,SP6,3.238,6.25128187786531e-05
238,GFAP,3.4139999999999997,6.44243554377532e-05
240,PLPP4,2.4,6.90475937957986e-05
241,SLC6A1-AS1,3.8960000000000004,7.000812501274539e-05
242,SLC6A9,1.797,6.986927851243621e-05
247,SLC15A2,2.417,7.224729077109209e-05
249,MEG3,4.42,7.38476389472189e-05
251,CRLF1,2.004,7.58998859804169e-05
253,FCRLB,2.305,7.86880956681756e-05
254,LOC101927543,3.5269999999999997,8.044800151332321e-05
255,TMPRSS15,2.146,8.069930176119521e-05
256,C10orf105,4.497,8.12894907297424e-05
257,NDST3,1.3969999999999998,8.1458127798212e-05
258,PRCP,1.324,8.20502203824591e-05
259,JPH3,1.4509999999999998,8.36376405335021e-05
260,TEX15,1.617,8.47348618615231e-05
261,MAGI2,1.011,8.4725646984248e-05
262,KCNJ6,1.824,8.82870260283818e-05
264,ARHGEF6,1.285,9.012491347757541e-05
272,CAT,1.605,9.607235497016329e-05
274,COL9A3,2.622,9.57343619124057e-05
276,MTRNR2L2,3.535,9.752076338532192e-05
277,NFKBIL1,4.177,9.85543126585783e-05
278,B3GAT2,2.165,9.91095112610997e-05
283,KCNJ10,2.089,0.00010516215203527701
284,CITED1,1.123,0.0001060716869234
285,RAPGEF4,2.2569999999999997,0.000106661067300279
288,CBSL,1.8090000000000002,0.000114485801721544
292,AGAP2,1.46,0.00011850175201736298
295,RXFP4,1.7530000000000001,0.00012505905031941
296,SH3RF3,2.455,0.00012515718086569198
299,KCNIP2,1.564,0.000129819961884808
302,CRYAB,2.412,0.000130690288260461
303,METTL7A,1.8130000000000002,0.000134118102585147
307,BICC1,1.2429999999999999,0.000143779879049299
308,SORL1,1.206,0.000143904137903107
312,RASSF5,1.6480000000000001,0.00014665152303383302
314,LENG8,1.8330000000000002,0.00014587744106546498
320,METRNL,1.149,0.00015484582847130602
321,FOXL2,2.012,0.000155735789203303
325,PCDHB6,1.6269999999999998,0.00015927109021983898
327,CAMK2N2,1.494,0.00015882593277571498
331,SNTG1,1.4880000000000002,0.00016386804605753998
332,SYT17,1.74,0.000163630248673938
334,BTBD17,1.168,0.000166951021653848
339,SNTB1,2.546,0.000176588026013509
340,RPE65,2.11,0.000177147943474208
341,LINC00403,1.386,0.000183195652726318
346,C10orf54,2.295,0.000194127423428355
347,ARMC4,1.105,0.00019651501631090401
348,C1QTNF2,1.472,0.00019982707055091398
351,CNN1,1.7590000000000001,0.00020662959900713302
357,FABP7,1.005,0.000215764450103193
360,LOC101928590,1.656,0.000218862783278148
364,ENTPD2,2.411,0.00022940575354294198
369,NTNG2,1.515,0.00024109023918820498
370,DGKB,1.8969999999999998,0.000242366468988381
372,PDE7B,1.7409999999999999,0.00024645991744776
375,IL1RAP,1.42,0.000249383741949822
377,HLA-C,2.7439999999999998,0.00025349251010452
378,LRP1B,1.182,0.000254207517089046
380,NRGN,1.297,0.000256196295748661
381,MDGA2,1.291,0.00025942145649585096
382,NFIA,2.084,0.000264301689159299
383,PCDHB15,1.097,0.000267052533970127
384,TMEM59L,1.6269999999999998,0.000269774585284615
385,PLCE1-AS1,2.4459999999999997,0.000270699543612706
387,TBX2,1.7919999999999998,0.000278757001431871
389,ADGRB3,1.025,0.000286846667870091
398,TCERG1L,3.6260000000000003,0.000320211186460206
399,ERBB3,1.5530000000000002,0.000319096537950525
401,ZNF728,2.444,0.00033556683630068
402,CNGA3,1.492,0.000337215722163006
404,SNX10,1.6119999999999999,0.000340291219822249
405,IFI44L,1.469,0.00034437527603498703
408,GABRG2,2.39,0.000352826542402323
410,PLCE1,1.205,0.000359412706092312
411,ADGRA1,1.189,0.000363839369929224
412,COL5A2,1.11,0.000363445058361143
413,PDGFA,1.989,0.000366707913271656
415,FAM13C,1.3319999999999999,0.000370536409779678
416,PTGDS,2.34,0.000371620419313657
418,NOMO1,4.103,0.00037460727223965096
422,KCNK10,1.469,0.000388288313105794
