,Gene_symbol,Log_FoldChange,PValue
192,TLR4,-1.244,5.7043222859876206e-05
193,FRAT2,-1.9469999999999998,5.78087520229516e-05
194,CSRNP1,-2.17,5.83645617438241e-05
195,KDM6B,-1.786,5.91995635301309e-05
196,NAMPT,-2.673,5.8718239116329604e-05
197,HIP1,-1.473,5.98718896968902e-05
198,OSM,-2.0140000000000002,6.0007310080588407e-05
199,TMEM55A,-1.5590000000000002,6.1012113788623595e-05
200,VMP1,-1.767,6.104224591065e-05
201,IL17RA,-1.216,6.13501922395663e-05
202,PFKFB4,-1.4880000000000002,6.17909837225291e-05
203,ST8SIA4,-1.5730000000000002,6.211828747704421e-05
204,COX7A1,-2.145,6.451239116177789e-05
205,CACNA1E,-3.735,6.38975829258468e-05
206,CA4,-3.765,6.57441814652796e-05
207,TLR5,-1.182,6.46824560282758e-05
208,ABHD5,-1.7180000000000002,6.53388171462937e-05
209,RTN3,-1.475,6.553521926823821e-05
210,GLUL,-1.54,6.53301191021117e-05
211,MOSPD2,-1.4069999999999998,6.88945754801998e-05
212,STK38L,-1.089,6.90567010193026e-05
213,BAZ2B,-1.442,6.911228671764511e-05
214,REL,-1.147,6.955504630734111e-05
215,HSPA6,-2.43,6.984781919808171e-05
216,CORO1C,-1.151,7.0787787040987e-05
217,FOSL2,-1.238,7.07499248556592e-05
218,LSM14A,-1.314,7.190594503929871e-05
219,TP53INP2,-1.979,7.188160488563309e-05
220,FAR1,-1.01,7.4504196542913e-05
221,PHF24,-3.285,7.543415297880559e-05
222,ZBTB21,-1.2229999999999999,7.615628540156071e-05
224,DCP2,-1.137,7.950537126239009e-05
225,SCRT2,-4.688,8.11133615474833e-05
226,APOBEC3A,-1.874,8.09632551142065e-05
227,TMCC3,-1.788,8.13890241810146e-05
228,PELI1,-1.5590000000000002,8.14899633587022e-05
229,PPP1R15B,-1.685,8.01083280681326e-05
230,ZNF516,-1.406,8.26299125560408e-05
231,FCGR2A,-2.02,8.305994434582191e-05
232,R3HDM4,-1.499,8.41518554953243e-05
233,S100A9,-1.568,8.586393951462192e-05
234,LOC101928389,-2.016,8.657945000922059e-05
235,HCAR3,-2.819,8.70478979075203e-05
236,PTPRE,-1.149,8.687354392846391e-05
237,BST1,-1.228,8.760074741731608e-05
238,STEAP4,-2.506,8.80250159043087e-05
239,HPSE,-1.158,8.88060735701093e-05
240,SMARCA5-AS1,-2.536,9.03422434688783e-05
241,AOC3,-2.805,8.99334160408597e-05
242,TAOK1,-1.084,9.03087107688698e-05
244,ANPEP,-1.608,9.341407740126619e-05
245,CYP4F3,-2.971,9.4319448152362e-05
246,ALPK1,-1.6669999999999998,9.675556060427359e-05
247,ACAP2,-1.126,9.913639120131221e-05
248,RPP21,-4.066,0.000101144846268632
250,LOC105370888,-1.775,0.00010713064959501
251,B3GNT8,-1.767,0.000105064398601301
252,FCHO2,-1.86,0.00010756931014338
253,PPP1R3B,-2.104,0.000107817048007924
254,SNX10,-1.285,0.00010704181993457399
255,HCAR2,-2.866,0.00010684557468079301
256,SEL1L,-1.258,0.000106488413724477
257,IGSF6,-1.5390000000000001,0.000106472901836951
258,SOD2,-2.16,0.000105263691440386
259,S100A8,-1.516,0.000107281862716163
261,DGCR5,-2.36,0.000111832199364199
262,MNDA,-1.796,0.00011145641277773799
263,ADORA2A-AS1,-1.999,0.00011271840103228899
264,HLA-DRB5,-2.93,0.000112381980499674
265,NCF1,-1.726,0.00011367481796409699
266,KIAA0825,-1.9040000000000001,0.000119466812143193
268,ZNF467,-1.2930000000000001,0.000121928355387027
269,CHST15,-1.4180000000000001,0.00012157178864876101
270,HLX,-1.271,0.000123834002007505
271,ZCCHC6,-1.395,0.000123172630331808
272,NFE2,-1.551,0.000123390672499358
273,ZFX,-1.101,0.00012514242856086699
274,APC,-1.173,0.000126791703763007
275,TSHZ3,-1.247,0.00012824765458071202
276,MRVI1,-1.797,0.000129454536488971
277,DDIT3,-1.778,0.000129901960492739
278,SULT1B1,-1.2309999999999999,0.00012937351530045602
279,IFRD1,-1.791,0.000128168594823227
280,NUMB,-1.486,0.000129383614684994
281,TMEM45B,-1.85,0.000131092830171235
282,ST6GALNAC3,-1.4080000000000001,0.000131577804559703
