,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
1252,NFKBIL1,-3.5460000000000003,0.0164719934929517,
1263,CXCL2,-1.4509999999999998,0.0165015603463049,
1276,MARCO,-1.694,0.0167790763272368,
1280,KIFC1,-1.04,0.0168470867440288,
1284,LOC101929541,-3.389,0.0170178829875702,
1285,MAJIN,-2.735,0.0171735754699247,
1317,MIR1343,-1.555,0.0176442689469903,
1322,MYO16-AS1,-1.189,0.0177099489764158,
1327,PPP1R18,-4.189,0.0178884639272007,
1348,TTR,-2.366,0.0183634201130882,
1371,WWC2-AS1,-1.3159999999999998,0.0188448080636701,
1378,MTCYBP44,-1.6840000000000002,0.0190981499584377,
1381,HLA-B,-2.045,0.0190852702244665,
1389,HLA-DPA1,-1.5219999999999998,0.0194316232400828,
1402,MLNR,-1.272,0.0198161754648372,
1404,PERM1,-1.579,0.019889449857703998,
1419,HSPA1A,-5.694,0.0200908856571394,
1490,LINC00853,-1.03,0.0217444782419387,
1492,ATAT1,-1.39,0.0218913579305494,
1519,PARD3-AS1,-1.712,0.0224292191162197,
1527,OR4D5,-1.902,0.0227642046641802,
1528,SNORD114-5,-1.11,0.022736847444246002,
1558,LOC102723655,-2.678,0.0234283499295406,
1562,LINC01999,-2.653,0.0235293058264705,
1569,AVPR1B,-1.79,0.0237439457476522,
1583,GOLGA6L10,-2.7089999999999996,0.024019005198097996,
1585,RNF17,-1.896,0.0239939848485437,
1592,RRAD,-1.284,0.0241435312892106,
1607,OR9I1,-2.7260000000000004,0.0247053218763835,
1618,NYX,-2.633,0.0249866698028051,
1619,LBP,-2.623,0.0249497563047483,
1647,PRPH,-1.077,0.0257224730180505,
1659,SNORA36B,-1.222,0.0261139929955363,
1665,MIR4459,-2.573,0.0263556840487219,
1666,MIR7851,-1.308,0.0263412082117957,
1710,TNFRSF12A,-1.431,0.0275287078834719,
1720,LPP-AS1,-1.11,0.0277883339536641,
1725,STC1,-1.338,0.0279438357781822,
1775,HSPB1,-1.0759999999999998,0.0289163249522695,
1785,MMP3,-1.689,0.0292172705966167,
1802,SERPINB13,-1.026,0.029872108861568,
1806,C11orf52,-1.145,0.030036099076776998,
1812,ZFP57,-1.818,0.0301598781810224,
1834,CALCA,-2.0669999999999997,0.0307344053206071,
1842,LINC01324,-2.616,0.0310553918143606,
1867,MIR4256,-1.641,0.0314252662230473,
1885,ASB17,-1.171,0.0320921564180366,
1887,LINC01995,-1.27,0.0321237865112971,
1903,CCDC169-SOHLH2,-1.653,0.03287335778027,
1910,LINC02411,-1.32,0.0330501815702241,
1912,MT1A,-1.8090000000000002,0.0332186362217732,
1927,LOC102725121,-2.449,0.0334850671183481,
1959,GSTT2B,-3.345,0.0344415554222246,
1964,SNORD60,-1.208,0.0345202177484295,
1978,MSX2,-1.04,0.0349792112143057,
2001,FAM138B,-1.8559999999999999,0.0355902475163418,
2039,NPBWR1,-1.01,0.0365425461435437,
2044,XG,-1.252,0.036734950233034,
2056,PPP1R11,-1.811,0.0371720489343026,
2099,DNAJB1,-1.01,0.038097028485555004,
2101,LOC101927815,-1.0390000000000001,0.0381807351371964,
2103,SNORA80A,-1.034,0.0382168817696265,
2182,LOC102724219,-1.061,0.0405034814993714,
2207,IL22,-1.5719999999999998,0.0413029327219847,
2216,C6orf10,-2.12,0.0415965303522095,
2246,OR2A1,-1.205,0.0427513925833086,
2272,CDKN1A,-1.094,0.0436914289379514,
2281,OR52B2,-1.7269999999999999,0.0440250930622798,
2312,OR6T1,-1.6340000000000001,0.0449583317390343,
2323,CD93,-1.014,0.0453732619432338,
2338,CCL3L3,-2.104,0.0459879933293256,
2339,ANP32AP1,-1.043,0.0459345027903893,
2367,LTF,-1.357,0.0466340970758508,
2373,SPANXN1,-1.436,0.0467135633755738,
2404,LINC01669,-1.286,0.0476497048385555,
2419,LINC00633,-1.82,0.0480117608945786,
2443,SPANXD,-1.946,0.0485050847964464,
2479,HLA-DQB1-AS1,-2.106,0.0495089035617372,
2,HSPA1B,-4.992,5.6296917088588894e-08,
13,FOSB,-1.715,9.66069473281608e-06,
15,PCSK5,-1.9969999999999999,1.36110035979385e-05,
17,NPAS4,-2.197,1.90064382370904e-05,
18,NR4A1,-1.202,2.1284382797168802e-05,
22,VARS,-1.3419999999999999,3.73379490626365e-05,
29,RGS16,-1.133,0.000116617759943894,
31,ADM,-1.544,0.000184846670508183,
32,EGR2,-1.099,0.000219045512873631,
33,ZFP36,-1.51,0.00020508784738783702,
34,BAG3,-1.493,0.00022505298041152597,
39,CCRL2,-1.065,0.000259574800247153,
43,FAM72C,-1.722,0.00030901247514636003,
46,LIF,-3.155,0.000379422153838134,
49,NCF1C,-1.285,0.000473833896234289,
55,GADD45B,-1.225,0.00047731571179194696,
63,C11orf91,-2.187,0.000686596929912814,
72,XIRP1,-1.714,0.0008959335199663859,
76,LINC02138,-2.441,0.0010316903821589,
98,RNF122,-1.011,0.00148279486618704,
114,TM4SF1,-1.004,0.0018515760506971602,
