,Gene_symbol,Log_FoldChange,PValue
485,COX3,-3.3510000000000004,0.0014186159568896801
493,RPS9,-2.822,0.00150303167977667
503,NMB,-2.187,0.0015268599672713
504,NDUFC2-KCTD14,-4.937,0.00152429290805073
506,CLIP3,-3.049,0.00155436698186743
511,LENG1,-8.811,0.00158304215591601
523,RNA5S2,-4.684,0.00169549793406014
524,RNA5S12,-4.684,0.0016956960019436
525,RNA5S1,-4.685,0.0016957811110463801
526,RNA5S6,-4.685,0.00169591118847924
527,RNA5S4,-4.685,0.00169581923457135
528,RNA5S8,-4.685,0.00169784938988938
529,RNA5S13,-4.685,0.00169785849257126
530,RNA5S11,-4.685,0.0016979948398528199
531,RNA5S17,-4.686,0.00169804769689898
532,RNA5S3,-4.686,0.00169180843950787
533,RNA5S15,-4.686,0.00169136812970599
534,RNA5S14,-4.686,0.00169210283529418
535,RNA5S7,-4.686,0.00169199777198277
536,RNA5S16,-4.686,0.00169213108680693
537,RNA5S10,-4.686,0.0016921188414604198
538,RNA5S5,-4.686,0.00169165415864916
543,UPK3BL,-1.88,0.0017249227533736198
563,BCKDHB,-1.554,0.0018179970431809898
564,RPS16,-2.8480000000000003,0.00181787190818197
573,GRIN2A,-1.546,0.00187696261863145
585,NLRP2,-4.442,0.0018858986544665899
587,FGFBP2,-4.062,0.00191183762694932
592,PLPPR2,-2.407,0.00195849434471254
599,PTPRN2,-1.671,0.00200247506276964
600,PIANP,-3.53,0.00201296843168923
605,NDUFA3,-3.323,0.00204375878471729
608,RAB11B,-2.7910000000000004,0.00206163918271912
613,COX1,-2.779,0.00210782772712294
618,SHOX2,-5.175,0.0021495298347466198
619,TIMP1,-2.5860000000000003,0.00215269693961059
634,GRINA,-2.046,0.00226828662718092
640,ATN1,-3.012,0.00234264888099105
654,EEF1A2,-1.858,0.00243534236889318
661,FGFRL1,-1.5490000000000002,0.00247750158240175
680,C2orf80,-1.419,0.00257819557561733
681,PLPPR3,-2.405,0.0025434820865119197
687,PRSS56,-4.23,0.0026386468501800697
694,PRR36,-3.9930000000000003,0.00270835259660875
697,SYN1,-3.815,0.00274101390456275
698,MEG3,-3.613,0.0027403102913563103
699,PGK1,-1.8940000000000001,0.00272941560822202
701,EGR1,-3.783,0.0027573780420972
702,CDIP1,-1.886,0.0027664617978666
707,RPLP1,-2.872,0.00279109179477155
708,TNFRSF25,-1.864,0.0028168731375892
715,NSDHL,-1.4969999999999999,0.0028552965561596897
728,ECEL1,-3.2430000000000003,0.00291577592117606
747,PROX1,-2.739,0.00311012762010198
750,SLC9A3R2,-2.1,0.0031442327535972
751,TESC,-2.43,0.00315376239332811
753,NRGN,-3.7510000000000003,0.0031845611637582
754,PIK3R2,-1.8459999999999999,0.0031964713133464397
760,ACHE,-2.863,0.0032504861880762103
761,TRAPPC1,-2.735,0.00325746435275201
762,FAIM2,-1.959,0.00323547728445107
763,ETV5,-1.537,0.00323133963360008
764,CACNG4,-1.6340000000000001,0.00325135091698261
765,ALDOA,-1.9169999999999998,0.0032137219187411198
766,RPL28,-2.6239999999999997,0.00325400245191443
767,FTH1,-2.201,0.00323173610178866
777,PEG10,-1.673,0.00337875453490667
778,BAG6,-1.7919999999999998,0.00339032060459308
783,TCEA2,-1.8159999999999998,0.00342343454744596
784,DPYSL5,-1.4780000000000002,0.0034328070830245603
785,RNF208,-4.071000000000001,0.00344307756059359
788,CNOT3,-3.409,0.0034772370869319397
793,ZNF865,-3.077,0.00350822775666894
806,COL26A1,-2.036,0.00360633134295994
807,MTRNR2L2,-5.492999999999999,0.00361090742697551
813,CALY,-3.01,0.00364662152697514
814,SOX12,-1.9369999999999998,0.003667310366119
815,GSK3A,-2.1630000000000003,0.00365323096720327
816,NNAT,-3.315,0.00367079477879086
817,TIMP2,-2.061,0.0036478252038998705
818,MARCKSL1,-1.507,0.00366787653234478
822,CCDC85B,-3.096,0.00370382744572424
830,GNB2,-1.7069999999999999,0.0038716721323806295
833,VSX2,-4.725,0.0039019294459367204
836,H1FX,-2.019,0.00395317225293861
