,Gene_symbol,Log_FoldChange,PValue
861,KRT79,1.196,0.00829558033357413
871,GAL3ST3,2.101,0.0085867004529784
872,TECTB,1.525,0.00860277173885978
879,APLN,1.077,0.00866749488505943
892,LGALS8-AS1,1.058,0.00895687533027121
894,ARL14EPL,1.71,0.00900752770960297
901,URAD,1.66,0.00920698651041401
929,FAT3,1.178,0.00975777628378964
945,TMEM145,1.227,0.0100737221062749
957,MAP3K19,1.064,0.0102188165386225
973,LY6D,1.743,0.010647279482473
984,MMP13,1.386,0.010971727663056001
993,RNVU1-7,1.844,0.0111574081604638
1028,CNTN6,1.475,0.0118193594271289
1041,KRT7,1.202,0.0120954887552051
1067,SPATA13,1.5430000000000001,0.0128131432025713
1089,TUBB2B,1.024,0.013278737513374
1108,CES1,1.2819999999999998,0.013713955566338
1112,VIL1,1.494,0.0138579438407361
1116,ANO4,1.182,0.0139114156941744
1117,CAPN13,1.6840000000000002,0.0139645144198217
1123,VWA3B,1.075,0.0140398324728109
1141,GNL1,1.056,0.014622009785908002
1151,LINC01925,2.3819999999999997,0.0148957415160518
1153,DSC3,1.235,0.0149907198699657
1154,TFF3,1.002,0.015104323356803997
1162,PTPRZ1,1.23,0.0153005468801841
1170,MIR4530,1.6869999999999998,0.0154754368069127
1173,MIR365B,1.2790000000000001,0.0155308678528532
1264,PKHD1L1,1.04,0.0179287816917351
1265,C22orf15,1.642,0.0179598536796957
1268,LINC01899,1.7469999999999999,0.0180418065952552
1274,KRT16,2.055,0.0181273750529276
1279,USP50,1.125,0.018391023099220003
1287,DHX16,1.867,0.018582809217926002
1296,VCX,1.219,0.0188021066367945
1300,SLC38A3,1.125,0.0188849251038245
1306,RMRP,1.3119999999999998,0.0191343209374186
1336,ARHGDIG,1.013,0.0201181841471015
1344,PGLYRP2,1.591,0.0203388466281525
1401,SLC25A41,1.044,0.0220477689600795
1418,EHHADH-AS1,1.839,0.0224405300980094
1419,CLEC6A,1.4140000000000001,0.0224669049401001
1426,FOXH1,1.137,0.0227124590904554
1440,LRRTM4,1.355,0.0231859968338693
1474,SPINK5,1.15,0.0237738775749656
1475,TGM3,1.078,0.0237963475008103
1476,PBK,1.046,0.0238507477370066
1479,LINC00244,1.206,0.0238896862044986
1480,LOC105373764,1.3519999999999999,0.0239102182546385
1483,HBE1,1.073,0.0240853407836854
1545,TMC4,1.135,0.0259981096865076
1619,CLRN3,2.013,0.028288489433432002
1639,LAIR2,1.9909999999999999,0.0293742464717902
1650,HCN4,1.579,0.0294824628845847
1671,FIBCD1,1.3319999999999999,0.0301482893336909
1688,MIMT1,1.411,0.0306249061770554
1696,LINC00870,1.766,0.0308223361562546
1705,CKMT1A,1.386,0.0311135218283321
1716,FAM183BP,1.392,0.0314166855408921
1750,HIST1H2AK,1.73,0.0326822454618177
1752,LENG9,1.3030000000000002,0.0327071531956734
1769,MYH2,1.139,0.0336489195662479
1830,C5orf67,1.755,0.0356675619247966
1859,PBX2,1.006,0.0365750153360105
1892,LINC01787,1.0090000000000001,0.0380950498850992
1921,LINC01704,1.03,0.0390506774393114
1933,SERPINB7,1.442,0.039370593784302
1958,CRH,1.412,0.0403577192747342
1977,PRL,1.054,0.0409987687354398
1991,SSMEM1,1.435,0.04164412840192
2004,CASP14,1.1,0.0421188067213223
2019,DLG1-AS1,1.276,0.0426463773951658
2038,CKMT1B,1.101,0.0432178683064456
2050,FREM3,1.4040000000000001,0.0440428586497845
2071,WDR64,1.508,0.0446709708934312
2111,SSX7,1.2329999999999999,0.0463636589994655
2126,PCP4,1.213,0.0468513806826669
2128,CSN1S1,1.02,0.0468567435911494
2131,FAM83C-AS1,1.683,0.0469603873681612
2133,PSORS1C1,1.308,0.0470564620963936
2135,MYEOV,1.015,0.0471792144279946
2141,HLA-DMB,1.9480000000000002,0.0472586770510096
2147,WNT7A,1.044,0.0476239729325206
2157,LOC101928739,1.9680000000000002,0.0479663065546488
2187,SEC23A-AS1,1.125,0.0488765764745936
2202,KRT15,1.074,0.0493756027924586
2,SPP1,4.811,1.92038189083793e-12
3,CDKN2B,2.536,2.0496713129509e-11
5,TNMD,3.5439999999999996,1.31204591294575e-09
6,LEP,2.81,1.1267605584121199e-09
7,RPP21,6.541,3.30173883931745e-09
